DISCIPLINE;ARME;CATEGORIE;SEXE;QUOTA
TAE I;CL;U11;F;3
TAE I;CL;U11;H;1
TAE I;CL;U13;F;4
TAE I;CL;U13;H;4
TAE I;CL;U15;F;4
TAE I;CL;U15;H;4
TAE I;CL;U18;F;4
TAE I;CL;U18;H;8
TAE I;CL;U21;F;4
TAE I;CL;U21;H;8
TAE I;CL;S1;F;8
TAE I;CL;S1;H;16
TAE I;CL;S2;F;8
TAE I;CL;S2;H;16
TAE I;CL;S3;F;4
TAE I;CL;S3;H;8
TAE I;CO;Mixte U18/U21;;4
TAE I;CO;S1;F;4
TAE I;CO;S1;H;6
TAE I;CO;S2;F;4
TAE I;CO;S2;H;8
TAE I;CO;S3;F;2
TAE I;CO;S3;H;4
TAE N;CL;U13;F;4
TAE N;CL;U13;H;4
TAE N;CL;U15;F;2
TAE N;CL;U15;H;4
TAE N;CL;U18;F;4
TAE N;CL;U18;H;4
TAE N;CL;U21;F;3
TAE N;CL;U21;H;4
TAE N;CL;S1;F;6
TAE N;CL;S1;H;10
TAE N;CL;S2;F;8
TAE N;CL;S2;H;12
TAE N;CL;S3;F;4
TAE N;CL;S3;H;10
TAE N;CO;Mixte U13/U15;;3
TAE N;CO;Mixte U18/U21;;4
TAE N;CO;S1;F;3
TAE N;CO;S1;H;3
TAE N;CO;S2;F;4
TAE N;CO;S2;H;8
TAE N;CO;S3;F;3
TAE N;CO;S3;H;4
TAE N;BB;;F;3
TAE N;BB;;H;6
TAE N;;;;
